number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,1.2035129645954223,2025-12-13 18:51:40.566964,2025-12-13 18:51:41.338372,0 days 00:00:00.771408,9.563759526973396e-07,0.7492535061512953,0.23368298654735634,1.769972241254808e-06,5,7,0.8744019412693059,COMPLETE
1,1.2758720981453313,2025-12-13 18:51:41.420732,2025-12-13 18:51:42.278386,0 days 00:00:00.857654,0.0013241056351907755,0.9766966730974682,0.23055390653769803,1.0951728359885016e-08,6,1,0.8426799091838986,COMPLETE
2,1.2089160756595227,2025-12-13 18:51:42.361574,2025-12-13 18:51:43.900621,0 days 00:00:01.539047,0.0026634446753138856,0.9588870612564717,0.2456600788791129,0.13988071192040605,11,8,0.6459380340853166,COMPLETE
3,1.106051418494907,2025-12-13 18:51:43.981757,2025-12-13 18:51:45.110378,0 days 00:00:01.128621,0.0013532636785088263,0.7170069966666468,0.051229313804442816,0.01505461954644427,9,7,0.720916587211498,COMPLETE
4,1.239146654885338,2025-12-13 18:51:45.192966,2025-12-13 18:51:46.738827,0 days 00:00:01.545861,8.027743594569378e-08,0.9543244404043341,0.1986151827601255,1.5572591447800067e-05,11,9,0.7608235761968171,COMPLETE
5,1.1138800311455566,2025-12-13 18:51:46.820906,2025-12-13 18:51:47.572175,0 days 00:00:00.751269,1.559085586943351,0.8131435741556963,0.09720301642449897,0.0029913109392181187,6,9,0.5234481596946249,COMPLETE
6,1.074590150207786,2025-12-13 18:51:47.658205,2025-12-13 18:51:50.835429,0 days 00:00:03.177224,1.7993530249425475e-05,0.6479808534398394,0.06769478650685556,6.908198301652108,14,4,0.8773238457649286,COMPLETE
7,1.0516583242133506,2025-12-13 18:51:50.918729,2025-12-13 18:51:52.012021,0 days 00:00:01.093292,27.708123990732204,0.5755760098212819,0.05785461033855306,6.936565426084549e-05,9,1,0.9105528289184642,COMPLETE
8,1.1853483227803372,2025-12-13 18:51:52.100292,2025-12-13 18:51:53.547136,0 days 00:00:01.446844,0.002216049658169263,0.7986858241154422,0.29641138772154296,10.673764174960096,10,9,0.6256870671035297,COMPLETE
9,1.2339394382139093,2025-12-13 18:51:53.632781,2025-12-13 18:51:54.280018,0 days 00:00:00.647237,0.547397692188383,0.6527299591714091,0.18115839526577265,2.028584579475462e-05,5,4,0.5398065450779821,COMPLETE
10,1.039226232780204,2025-12-13 18:51:54.354437,2025-12-13 18:51:55.007101,0 days 00:00:00.652664,88.81742313761711,0.5076744759104175,0.1249305242531559,4.267533342384549e-08,15,1,0.9522550175261899,COMPLETE
11,1.0482402776980806,2025-12-13 18:51:55.080474,2025-12-13 18:51:55.897109,0 days 00:00:00.816635,63.51221943433928,0.5013368471369942,0.11926208410022658,1.379908605262349e-08,15,1,0.9718346030919768,COMPLETE
12,1.0386084923036227,2025-12-13 18:51:55.969569,2025-12-13 18:51:56.679211,0 days 00:00:00.709642,83.57120536234143,0.5367841833454616,0.11824351205339048,2.9060382143628905e-08,15,3,0.9872612353464002,COMPLETE
